% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.61    0.667024          14     45373         1 poll
  0.24    0.001586           5       270         2 read
  0.06    0.000416          17        24           write
  0.03    0.000232          17        13         1 openat
  0.02    0.000153           0       306       303 newfstatat
  0.01    0.000064           5        11           getrandom
  0.01    0.000038          38         1           rt_sigprocmask
  0.00    0.000023           1        15           close
  0.00    0.000021           5         4           getcwd
  0.00    0.000018          18         1         1 mkdir
  0.00    0.000008           2         4           rt_sigaction
  0.00    0.000007           1         5           lseek
  0.00    0.000007           3         2         2 readlink
  0.00    0.000006           0        20           mmap
  0.00    0.000002           0        15           fstat
  0.00    0.000002           0         4         3 connect
  0.00    0.000001           0         4           socket
  0.00    0.000000           0         5           mprotect
  0.00    0.000000           0         2           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         2           ioctl
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         2           recvfrom
  0.00    0.000000           0         1           setsockopt
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         4           fcntl
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           sendmmsg
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.669608          14     46104       314 total
