641489 11:31:08.815577 read(3, "\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0\0\0\0\0\0\0\0\0"..., 832) = 832 <0.000028>
641489 11:31:08.816314 read(3, "\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0\220\243\2\0\0\0\0\0"..., 832) = 832 <0.000783>
641489 11:31:08.820228 read(3, " }\n        if frame.get(\"reply_t"..., 4666) = 4666 <0.000077>
641489 11:31:08.820674 read(3, "\20C\r\0\0\0\0\0(\273\5\0\0\0\0\0000C\r\0\0\0\0\0\321\277\5\0\0\0\0\0"..., 8192) = 8192 <0.000030>
641489 11:31:08.820821 read(3, "_S = 1.0\nRECONNECT_MAX_S = 30.0\n"..., 172032) = 172032 <0.000214>
641489 11:31:08.821163 read(3, " }\n        if frame.get(\"reply_t"..., 8192) = 4666 <0.000037>
641489 11:31:08.868382 poll(NULL, 0, 0) = 0 (Timeout) <0.000009>
641489 11:31:08.869008 poll([{fd=0, events=POLLIN}], 1, 0) = 1 ([{fd=0, revents=POLLIN}]) <0.000008>
641489 11:31:08.870073 read(3, "# /etc/nsswitch.conf\n#\n# Example"..., 1024) = 558 <0.000014>
641489 11:31:08.870137 read(3, "", 1024) = 0 <0.000009>
641489 11:31:08.870276 read(3, "# The \"order\" line is only used "..., 512) = 92 <0.000039>
641489 11:31:08.870360 read(3, "", 512) = 0 <0.000011>
641489 11:31:08.870432 futex(0x709c5ef1c66c, FUTEX_WAKE_PRIVATE, 2147483647) = 0 <0.000010>
641489 11:31:08.870545 read(3, "# This is /run/systemd/resolve/s"..., 4096) = 938 <0.000022>
641489 11:31:08.870623 read(3, "", 4096) = 0 <0.000009>
641489 11:31:08.870756 read(3, "127.0.0.1 localhost\n127.0.1.1 ca"..., 512) = 221 <0.000013>
641489 11:31:08.870807 read(3, "", 512) = 0 <0.000008>
641489 11:31:08.870996 read(3, "\177ELF\2\1\1\0\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0\0\0\0\0\0\0\0\0"..., 832) = 832 <0.000011>
641489 11:31:08.871334 poll([{fd=3, events=POLLOUT}], 1, 0) = 1 ([{fd=3, revents=POLLOUT}]) <0.000009>
641489 11:31:08.871450 poll([{fd=3, events=POLLIN}], 1, 5000) = 1 ([{fd=3, revents=POLLIN}]) <0.000160>
641489 11:31:08.871654 ioctl(3, FIONREAD, [70]) = 0 <0.000013>
641489 11:31:08.871711 recvfrom(3, "\356\252\201\200\0\1\0\1\0\0\0\1\5telie\fstory-kettle\2"..., 2048, 0, {sa_family=AF_INET, sin_port=htons(53), sin_addr=inet_addr("127.0.0.53")}, [28 => 16]) = 70 <0.000030>
641489 11:31:08.871871 poll([{fd=3, events=POLLIN}], 1, 4999) = 1 ([{fd=3, revents=POLLIN}]) <0.000160>
641489 11:31:08.872087 ioctl(3, FIONREAD, [54]) = 0 <0.000008>
641489 11:31:08.872147 recvfrom(3, "\6\253\201\200\0\1\0\0\0\0\0\1\5telie\fstory-kettle\2"..., 65536, 0, {sa_family=AF_INET, sin_port=htons(53), sin_addr=inet_addr("127.0.0.53")}, [28 => 16]) = 54 <0.000012>
641489 11:31:08.872586 poll([{fd=-1}], 1, 1) = 0 (Timeout) <0.001092>
641489 11:31:08.873774 poll([{fd=3, events=POLLOUT}], 1, 0) = 0 (Timeout) <0.000021>
641489 11:31:08.873882 read(0, "{", 1)  = 1 <0.000017>
641489 11:31:08.873949 read(0, "\"", 1) = 1 <0.000011>
641489 11:31:08.874008 read(0, "j", 1)  = 1 <0.000009>
641489 11:31:08.874072 read(0, "s", 1)  = 1 <0.000015>
641489 11:31:08.874168 read(0, "o", 1)  = 1 <0.000009>
641489 11:31:08.874216 read(0, "n", 1)  = 1 <0.000011>
641489 11:31:08.874274 read(0, "r", 1)  = 1 <0.000011>
641489 11:31:08.874331 read(0, "p", 1)  = 1 <0.000008>
641489 11:31:08.874387 read(0, "c", 1)  = 1 <0.000008>
641489 11:31:08.874434 read(0, "\"", 1) = 1 <0.000008>
641489 11:31:08.874479 read(0, ":", 1)  = 1 <0.000008>
641489 11:31:08.874532 read(0, "\"", 1) = 1 <0.000009>
641489 11:31:08.874761 read(0, "2", 1)  = 1 <0.000017>
641489 11:31:08.874838 read(0, ".", 1)  = 1 <0.000015>
641489 11:31:08.874979 read(0, "0", 1)  = 1 <0.000019>
641489 11:31:08.875067 read(0, "\"", 1) = 1 <0.000009>
641489 11:31:08.875137 read(0, ",", 1)  = 1 <0.000018>
641489 11:31:08.875221 read(0, "\"", 1) = 1 <0.000009>
641489 11:31:08.875273 read(0, "i", 1)  = 1 <0.000009>
641489 11:31:08.875320 read(0, "d", 1)  = 1 <0.000009>
641489 11:31:08.875371 read(0, "\"", 1) = 1 <0.000008>
641489 11:31:08.875417 read(0, ":", 1)  = 1 <0.000008>
641489 11:31:08.875462 read(0, "1", 1)  = 1 <0.000009>
641489 11:31:08.875509 read(0, ",", 1)  = 1 <0.000009>
641489 11:31:08.875565 read(0, "\"", 1) = 1 <0.000009>
641489 11:31:08.875612 read(0, "m", 1)  = 1 <0.000008>
641489 11:31:08.875658 read(0, "e", 1)  = 1 <0.000009>
641489 11:31:08.875713 read(0, "t", 1)  = 1 <0.000009>
641489 11:31:08.875759 read(0, "h", 1)  = 1 <0.000009>
641489 11:31:08.875809 read(0, "o", 1)  = 1 <0.000008>
641489 11:31:08.875855 read(0, "d", 1)  = 1 <0.000009>
641489 11:31:08.875901 read(0, "\"", 1) = 1 <0.000009>
641489 11:31:08.875947 read(0, ":", 1)  = 1 <0.000009>
641489 11:31:08.875995 read(0, "\"", 1) = 1 <0.000008>
641489 11:31:08.876040 read(0, "i", 1)  = 1 <0.000009>
641489 11:31:08.876087 read(0, "n", 1)  = 1 <0.000008>
641489 11:31:08.876138 read(0, "i", 1)  = 1 <0.000009>
641489 11:31:08.876185 read(0, "t", 1)  = 1 <0.000009>
641489 11:31:08.876231 read(0, "i", 1)  = 1 <0.000009>
641489 11:31:08.876277 read(0, "a", 1)  = 1 <0.000009>
641489 11:31:08.876325 read(0, "l", 1)  = 1 <0.000009>
641489 11:31:08.876371 read(0, "i", 1)  = 1 <0.000010>
641489 11:31:08.876422 read(0, "z", 1)  = 1 <0.000013>
641489 11:31:08.876485 read(0, "e", 1)  = 1 <0.000017>
641489 11:31:08.876549 read(0, "\"", 1) = 1 <0.000009>
641489 11:31:08.876601 read(0, ",", 1)  = 1 <0.000008>
641489 11:31:08.876648 read(0, "\"", 1) = 1 <0.000009>
641489 11:31:08.876693 read(0, "p", 1)  = 1 <0.000009>
641489 11:31:08.876737 read(0, "a", 1)  = 1 <0.000008>
641489 11:31:08.876781 read(0, "r", 1)  = 1 <0.000008>
641489 11:31:08.876838 read(0, "a", 1)  = 1 <0.000008>
641489 11:31:08.876880 read(0, "m", 1)  = 1 <0.000008>
641489 11:31:08.876923 read(0, "s", 1)  = 1 <0.000008>
641489 11:31:08.876965 read(0, "\"", 1) = 1 <0.000008>
641489 11:31:08.877008 read(0, ":", 1)  = 1 <0.000010>
641489 11:31:08.877072 read(0, "{", 1)  = 1 <0.000017>
641489 11:31:08.877151 read(0, "\"", 1) = 1 <0.000016>
641489 11:31:08.877230 read(0, "p", 1)  = 1 <0.000016>
641489 11:31:08.877295 read(0, "r", 1)  = 1 <0.000027>
641489 11:31:08.877394 read(0, "o", 1)  = 1 <0.000013>
641489 11:31:08.877455 read(0, "t", 1)  = 1 <0.000012>
641489 11:31:08.877513 read(0, "o", 1)  = 1 <0.000025>
641489 11:31:08.877594 read(0, "c", 1)  = 1 <0.000012>
641489 11:31:08.877650 read(0, "o", 1)  = 1 <0.000020>
641489 11:31:08.877755 read(0, "l", 1)  = 1 <0.000015>
641489 11:31:08.877833 read(0, "V", 1)  = 1 <0.000014>
641489 11:31:08.877903 read(0, "e", 1)  = 1 <0.000013>
641489 11:31:08.877974 read(0, "r", 1)  = 1 <0.000012>
641489 11:31:08.878032 read(0, "s", 1)  = 1 <0.000012>
641489 11:31:08.878087 read(0, "i", 1)  = 1 <0.000026>
641489 11:31:08.878179 read(0, "o", 1)  = 1 <0.000014>
641489 11:31:08.878262 read(0, "n", 1)  = 1 <0.000012>
641489 11:31:08.878322 read(0, "\"", 1) = 1 <0.000011>
641489 11:31:08.878390 read(0, ":", 1)  = 1 <0.000012>
641489 11:31:08.878448 read(0, "\"", 1) = 1 <0.000010>
641489 11:31:08.878502 read(0, "2", 1)  = 1 <0.000012>
641489 11:31:08.878566 read(0, "0", 1)  = 1 <0.000010>
641489 11:31:08.878623 read(0, "2", 1)  = 1 <0.000012>
641489 11:31:08.878682 read(0, "4", 1)  = 1 <0.000010>
641489 11:31:08.878736 read(0, "-", 1)  = 1 <0.000010>
641489 11:31:08.878791 read(0, "1", 1)  = 1 <0.000010>
641489 11:31:08.878846 read(0, "1", 1)  = 1 <0.000010>
641489 11:31:08.878901 read(0, "-", 1)  = 1 <0.000011>
641489 11:31:08.878964 read(0, "0", 1)  = 1 <0.000010>
641489 11:31:08.879019 read(0, "5", 1)  = 1 <0.000010>
641489 11:31:08.879074 read(0, "\"", 1) = 1 <0.000010>
641489 11:31:08.879128 read(0, ",", 1)  = 1 <0.000010>
641489 11:31:08.879182 read(0, "\"", 1) = 1 <0.000010>
641489 11:31:08.879242 read(0, "c", 1)  = 1 <0.000010>
641489 11:31:08.879299 read(0, "a", 1)  = 1 <0.000010>
641489 11:31:08.879355 read(0, "p", 1)  = 1 <0.000010>
641489 11:31:08.879409 read(0, "a", 1)  = 1 <0.000011>
641489 11:31:08.879471 read(0, "b", 1)  = 1 <0.000010>
641489 11:31:08.879549 read(0, "i", 1)  = 1 <0.000009>
641489 11:31:08.879604 read(0, "l", 1)  = 1 <0.000009>
641489 11:31:08.879659 read(0, "i", 1)  = 1 <0.000010>
641489 11:31:08.879711 read(0, "t", 1)  = 1 <0.000012>
641489 11:31:08.879768 read(0, "i", 1)  = 1 <0.000009>
641489 11:31:08.879819 read(0, "e", 1)  = 1 <0.000010>
641489 11:31:08.879887 read(0, "s", 1)  = 1 <0.000010>
641489 11:31:08.879955 read(0, "\"", 1) = 1 <0.000022>
641489 11:31:08.880029 read(0, ":", 1)  = 1 <0.000010>
641489 11:31:08.880082 read(0, "{", 1)  = 1 <0.000009>
641489 11:31:08.880134 read(0, "}", 1)  = 1 <0.000009>
641489 11:31:08.880185 read(0, ",", 1)  = 1 <0.000009>
641489 11:31:08.880237 read(0, "\"", 1) = 1 <0.000009>
641489 11:31:08.880286 read(0, "c", 1)  = 1 <0.000009>
641489 11:31:08.880334 read(0, "l", 1)  = 1 <0.000010>
641489 11:31:08.880383 read(0, "i", 1)  = 1 <0.000009>
641489 11:31:08.880432 read(0, "e", 1)  = 1 <0.000009>
641489 11:31:08.880488 read(0, "n", 1)  = 1 <0.000009>
641489 11:31:08.880593 read(0, "t", 1)  = 1 <0.000009>
641489 11:31:08.880646 read(0, "I", 1)  = 1 <0.000009>
641489 11:31:08.880698 read(0, "n", 1)  = 1 <0.000009>
641489 11:31:08.880750 read(0, "f", 1)  = 1 <0.000009>
641489 11:31:08.880801 read(0, "o", 1)  = 1 <0.000012>
641489 11:31:08.880855 read(0, "\"", 1) = 1 <0.000009>
641489 11:31:08.880905 read(0, ":", 1)  = 1 <0.000009>
641489 11:31:08.880955 read(0, "{", 1)  = 1 <0.000009>
641489 11:31:08.881019 read(0, "\"", 1) = 1 <0.000022>
641489 11:31:08.881090 read(0, "n", 1)  = 1 <0.000009>
641489 11:31:08.881140 read(0, "a", 1)  = 1 <0.000009>
